name,smiles,mol_wt,hbd,hba,rotatable_bonds,logP,tpsa
NVIC0099,O=C(c1c(O)c(Cc2c(O)c(C)c(c(c2O)C(=O)C)O)c(c2c1OC(C)(C)C=C2)O)/C=C/c1ccccc1,516.178417856,5,8,6,5.396720000000005,144.52
NVIC0100,O[C@H]1CCC(=C)/C(=C\C=C\2/CCC[C@]3([C@H]2CC[C@@H]3[C@@H](CCCC(O)(C)C)C)C)/C1,400.334130648,2,2,6,6.733900000000007,40.46
NVIC0101,C1CCC[C@@H]2CCCN3[C@@H]2O[C@@H](CCCCCC[C@@H]2[C@H]4O[C@@H](CC1)CCN4CCC2)CC3,446.38722884,0,4,0,6.3352000000000075,24.940000000000005
NVIC0102,COc1cc2c(cc1OCCCN1CCN(CC1)C)ncc(c2Nc1cc(OC)c(cc1Cl)Cl)C#N,529.164745148,1,8,9,5.190380000000005,82.88
NVIC0103,COC(=O)C(C1CC2N(C/C/1=C\C)CCc1c2[nH]c2c1cccc2)Cc1c[n+]2CC3C(C)OC=C(C3Cc2c2c1c1ccccc1[nH]2)C(=O)OC,685.33844696009,2,6,5,6.251300000000007,100.52999999999999
NVIC0104,O=C(c1ccncc1)N/N=C(/C(=O)O)\C,207.064391148,2,4,3,0.2718999999999998,91.65
NVIC0105,O=C[C@@H]([C@H]([C@@H]([C@@H](CO[C@H]1O[C@H](CO[C@H]2O[C@H](CO)[C@@H]([C@@H]([C@H]2O)O)O)[C@@H]([C@@H]([C@H]1O)O)O)O)O)O)O,504.16903494399975,11,16,11,-7.730399999999989,276.52
NVIC0106,N#C[C@]1(O[C@@H]([C@H]([C@H]1O)O)COP(=O)(OP(=O)(OP(=O)(O)O)O)O)c1ccc2n1ncnc2N,530.995745462,7,14,8,-1.5057200000000004,289.50999999999993
NVIC0107,CC(=O)Nc1ccc(cc1)/C(=N\Nc1nc(Nc2ccccc2)nc(n1)N1CCOCC1)/C,446.21787207200003,3,9,7,3.2463000000000015,116.66
NVIC0108,Cc1cccn2c1ncc(c2=O)c1n[nH]nn1,228.075958876,1,6,1,0.1830199999999998,88.83
NVIC0109,O[C@@H]1[C@H](O)[C@H](O[C@H]1[n+]1cccc(c1)C(=O)N)COP(=O)(OP(=O)(OC[C@H]1O[C@H]([C@@H]([C@@H]1O)OP(=O)(O)O)n1cnc2c1ncnc2N)O)[O-],743.0754523259998,8,19,13,-3.530899999999995,367.6199999999999
NVIC0110,OC[C@H]1O[C@H]([C@@H]([C@@H]1O)O)n1ncc(=O)[nH]c1=O,245.064785072,4,8,2,-3.456899999999999,137.67
NVIC0111,OS(=O)(=O)c1ccccc1.NCCOCC1=C(C(=O)OCC)C(C(=C(N1)C)C(=O)OC)c1ccccc1Cl,566.1489646319999,3,9,9,3.199600000000002,154.25
NVIC0112,COCC(=O)O[C@]1(CCN(CCCc2nc3c([nH]2)cccc3)C)CCc2c([C@@H]1C(C)C)ccc(c2)F,495.289720296,1,5,11,5.2709000000000055,67.45
NVIC0113,[O-][N+](=O)[O-].[O-][N+](=O)[O-].[O-][N+](=O)[O-].[Ga+3],254.88902718,0,9,0,-1.0981000000000003,198.6
NVIC0114,OC[C@@]12SS[C@@]3(N(C1=O)[C@@H]1[C@@H](O)C=CC=C1C3)C(=O)N2C,326.039498928,2,6,1,-0.30369999999999986,81.08
NVIC0115,NC(=O)C[C@@H]1NC(=O)[C@H](CCC(=O)N)NC(=O)[C@H](Cc2ccccc2)NC(=O)[C@H](Cc2ccc(cc2)O)NC(=O)[C@H](CSSC[C@H](NC1=O)C(=O)N1CCC[C@H]1C(=O)N[C@H](C(=O)NCC(=O)N)CCCN=C(N)N)N,1083.43785452,14,16,19,-5.404500000000015,463.92999999999984
NVIC0116,Cl[La](Cl)Cl,243.81291134,0,0,0,2.0685000000000002,0.0
NVIC0117,OP(=O)(O)O.OP(=O)(O)O.CCN(CCCC(Nc1ccnc2c1ccc(c2)Cl)C)CC,515.1353159240001,7,5,8,2.953400000000001,183.68
