name,smiles,mol_wt,hbd,hba,rotatable_bonds,logP,tpsa
2421-avr-enamine,O=C(NCCN1CCCCCC1)Nc1ccc(nc1)N1CCOCC1,347.232125168,2,5,5,1.9157,69.73
2422-avr-enamine,CC(NC(=O)Cn1cccc([N+](=O)[O-])c1=O)C1CC2CCC1C2,319.15320615200005,1,5,5,1.6973999999999994,94.24000000000001
2423-avr-enamine,Cc1csc(CCNC(=O)N2CCC(CC2)C(=O)N)n1,296.13069688,2,4,4,0.9009199999999999,88.32000000000001
2424-avr-enamine,CC(CNC(=O)Nc1cc(C)on1)N1CC(C)OC(C)C1,296.18484062799996,2,5,4,1.60222,79.63
2425-avr-enamine,O=C(NC1CCN2CCCCC12)Nc1ccccn1,260.16371126,2,3,2,1.8298999999999994,57.260000000000005
2426-avr-enamine,O=C(NCC1CC1)Nc1ccc(nc1)N1CCCCC1,274.179361324,2,3,4,2.6034000000000006,57.260000000000005
2427-avr-enamine,COCC(C)NC(=O)Cc1csc(n1)N1CCCC1=O,297.114712468,1,5,6,0.9634999999999996,71.53
2428-avr-enamine,CC(C)C(=O)N1CCCC(C1)C(=O)NCCc1ccccn1,303.19467704000004,1,3,5,1.6348999999999996,62.300000000000004
2429-avr-enamine,CC1(CCOCC1)NC(=O)Nc1cccnc1,235.132076784,2,3,2,1.7722000000000002,63.25
2430-avr-enamine,CCc1nc(CCNC(=O)N2CCC2)sc1C,253.124883228,1,3,4,1.97172,45.230000000000004
2431-avr-enamine,COc1cccnc1NC(=O)COC1CCCC1,250.131742436,1,4,5,1.9878999999999998,60.45
2432-avr-enamine,Cc1cc(NC(=O)NCCC2=CCCCC2)no1,249.147726848,2,3,4,2.995020000000001,67.16
2433-avr-enamine,CC(=O)N1CCC(CC1)NC(=O)Nc1ccccn1,262.142975816,2,3,2,1.2139999999999997,74.33000000000001
2434-avr-enamine,CNC(=O)C(CC(C)C)NC(=O)Cn1cc(ccc1=O)C(F)(F)F,347.14567616,2,4,6,1.1439999999999997,80.2
2435-avr-enamine,CC(C)N1CC(CC1=O)C(=O)NC(C)Cn1cccn1,278.174275944,1,4,5,0.6446999999999994,67.23
2436-avr-enamine,Cc1nc(C)c(CC(=O)NCC2CC2)c(=O)[nH]1,235.132076784,2,3,4,0.4554399999999999,74.85
2437-avr-enamine,Cc1nc(CC(=O)NCCNC(=O)C2CC2)cs1,267.104147784,2,4,6,0.6364199999999995,71.09
2438-avr-enamine,FC(F)(F)CC(=O)NCc1ccc(nc1)N1CCOCC1,303.11946141199996,1,4,4,1.4867999999999997,54.46000000000001
2439-avr-enamine,Cc1noc(C)c1CC(=O)NC1CCOCC1,238.131742436,1,4,3,1.1291399999999998,64.36
2440-avr-enamine,OC(COC1CCOCC1)Cn1nnc2cc(Cl)c(Cl)cc12,345.064696764,1,6,5,2.2946,69.4
2441-avr-enamine,Cc1nc(C)c(CC(=O)NC2CCCCC2)c(=O)[nH]1,263.163376912,2,3,3,1.3781399999999997,74.85
2442-avr-enamine,NC(=O)Cc1nc2ccccc2n1CC(O)c1ccccc1,295.132076784,2,4,5,1.7976999999999999,81.14
2443-avr-enamine,COCCn1c(SCC(=O)N)nc2cc(Cl)ccc12,299.049525368,1,5,6,1.9134999999999998,70.14
2444-avr-enamine,COCCn1nc(ccc1=O)C(=O)NC(C)C1CC1,265.142641468,1,5,6,0.4179999999999997,73.22
2445-avr-enamine,CC(=O)N1CCC(CC1)NC(=O)Cn1cccc(c1=O)C(F)(F)F,345.130026096,1,4,3,0.9942,71.41
2446-avr-enamine,COCCn1nc(ccc1=O)C(=O)NCC(C)N1CCOCC1,324.17975524799994,1,7,7,-0.6597999999999977,85.69
2447-avr-enamine,CC(Cn1cccn1)NC(=O)C1CCN(CC1)C(=O)N,279.16952491200004,2,4,4,0.17850000000000044,93.25
2448-avr-enamine,COCCn1nc(ccc1=O)C(=O)NC1CCN(CC1)C1CC1,320.18484062799996,1,6,6,0.2463000000000013,76.46
2449-avr-enamine,FC(F)(F)c1c[nH]c(=O)c(NC(=O)NCC2CCC=CC2)c1,315.11946141199996,3,2,3,2.871500000000001,73.99
2450-avr-enamine,Cc1cc(CC(=O)NCC2(C)CCCCCC2)n[nH]1,263.19976242,2,2,4,2.7373200000000004,57.78
2451-avr-enamine,CC(C)c1nc(CC(=O)NC2CCCCC2)no1,251.163376912,1,4,4,2.1844,68.02000000000001
2452-avr-enamine,CCC1CN(CC(C)O1)C(=O)NCCc1c(C)noc1C,295.18959166,1,4,4,2.0428399999999995,67.6
2453-avr-enamine,CC1CCCCC1NC(=O)Cn1cc(cc(C(=O)N)c1=O)[N+](=O)[O-],336.14336973999997,2,6,5,0.5503000000000002,137.33
2454-avr-enamine,Cn1c(=O)n(CC(O)c2ccc(F)cc2)c2ccccc12,286.11175594,1,4,3,2.2127,47.16
2455-avr-enamine,Cc1ccc(s1)c1ccc(=O)n(CC(O)c2cccc(F)c2)n1,330.08382694000005,1,5,4,3.1529200000000017,55.120000000000005
2456-avr-enamine,CC1CCC(C)(CC1)NC(=O)Cc1c(C)nc(C)[nH]c1=O,291.19467704,2,3,3,2.01424,74.85
2457-avr-enamine,Cc1cc(N)nc(SCC(O)Cn2cnc3cc(C)c(C)cc23)n1,343.14668129200004,2,7,5,2.4869600000000007,89.85
2458-avr-enamine,CC(C)(C)c1cc(nc(n1)C(C)(C)C)N1CCOC(C1)C(=O)N,320.221226136,1,5,2,1.7621,81.34
2459-avr-enamine,COc1ccc(C)nc1NC(=O)NC1CC1C,235.132076784,2,3,3,1.9285199999999998,63.25
2460-avr-enamine,COc1ccc(C)nc1NC(=O)NC1CCN(CC1)C1CCCC1,332.221226136,2,4,4,2.9271200000000013,66.49
2461-avr-enamine,CCC1COCCN1C(=O)NCCc1ncc(CC)s1,297.151097976,1,4,5,2.0683999999999996,54.46
2462-avr-enamine,Cc1ccc(CCNC(=O)N2CCCC(CC(=O)N)C2)cn1,304.189926008,2,3,5,1.2295199999999997,88.32000000000001
2463-avr-enamine,Cc1ccc(=O)n(CC(O)c2cccc(Cl)c2)n1,264.066555336,1,4,3,1.9387199999999998,55.120000000000005
2464-avr-enamine,CC(C)(C)c1cc(NC(=O)NC2CCCCC2CO)no1,295.18959166,3,4,3,2.6447000000000016,87.39
2465-avr-enamine,O=C(CC#N)NCC1(CCCCC1)c1ccncc1,257.152812228,1,3,4,2.3133800000000004,65.78
2466-avr-enamine,CN(C)CC(=O)NCC1(CCCCC1)c1ccncc1,275.19976242,1,3,5,1.9612999999999992,45.230000000000004
2467-avr-enamine,CC(C)CN1CCCCC1CNC(=O)Nc1cccn(C)c1=O,320.221226136,2,4,5,2.0173000000000005,66.37
2468-avr-enamine,Cl.C1NCC1n1ccnn1,160.05157396799999,1,4,1,-0.15580000000000016,42.74
2469-avr-enamine,CCNC(=O)Cn1ccc(N)n1,168.101111004,2,4,3,-0.3986,72.94
2470-avr-enamine,Cl.Nc1cccn(CC(=O)O)c1=O,204.030169828,2,4,2,-0.06309999999999999,85.32
2471-avr-enamine,Cl.Cl.CNC(C)(C(=O)N)c1ccncc1,251.05921745999999,2,3,3,0.8451000000000002,68.01
2472-avr-enamine,Clc1cnccc1NCC1=COCCO1,226.050905272,1,4,3,2.0351,43.38000000000001
2473-avr-enamine,Cn1cc(CCNC(=O)N2CCOCC2)cn1,238.142975816,1,4,3,0.004400000000000626,59.39
2474-avr-enamine,CS(=O)(=O)NCc1ccc(nc1)N1CCOCC1,271.099062404,1,5,4,-0.032600000000000184,71.53
2475-avr-enamine,CCN1CCOC(CNc2nccc(n2)C(F)(F)F)C1,290.13544582400004,1,5,4,1.628,50.28
2476-avr-enamine,CCOCCn1c(nc2n(C)c(=O)[nH]c(=O)c12)N1CCCCC1,321.180089596,1,7,5,0.45010000000000017,85.14999999999999
2477-avr-enamine,COCCn1c(SCC(=O)NC2CCCC2)nc(O)cc1=O,327.12527715199997,2,7,7,0.7461999999999995,93.44999999999999
2478-avr-enamine,Cc1nn(CC(O)COCc2ccc(Cl)cc2)c(=O)c(C#N)c1C,347.103669116,1,6,6,1.96292,88.13999999999999
2479-avr-enamine,CCn1cc(NC(=O)NCC(C)N2CCOCC2)cn1,281.18517497600004,2,5,5,0.7451999999999999,71.42
2480-avr-enamine,CC(Cn1cccn1)NC(=O)N1CCCN(C)CC1,265.190260356,1,4,3,0.6187000000000005,53.400000000000006
2481-avr-enamine,COc1ccc(NC(=O)NC2CCC(O)CC2)cn1,265.142641468,3,4,3,1.5151999999999997,83.48
2482-avr-enamine,OC1CCC(CC1)NC(=O)Nc1cn[nH]c1,224.127325752,4,3,2,0.8346999999999998,90.03999999999999
2483-avr-enamine,CCC1CN(CCO1)C(=O)NCCc1cnn(C)c1,266.174275944,1,4,4,0.7829999999999997,59.39
2484-avr-enamine,CS(=O)(=O)c1ccc(NC(=O)NC2CCN3CCCCC23)cn1,338.14126156400005,2,5,3,1.2333999999999996,91.39999999999999
2485-avr-enamine,Cc1nc(C)c(CC(=O)NC2CCCCCC2)c(=O)[nH]1,277.179026976,2,3,3,1.7682399999999998,74.85
2486-avr-enamine,CC1CN(CC(C)O1)C(C)(C)CNC(=O)Nc1cccnc1,306.205576072,2,4,4,2.0908999999999995,66.49000000000001
2487-avr-enamine,CN1CCC(CC1)NC(=O)Nc1cc(C)on1,238.142975816,2,4,2,1.1987199999999996,70.4
2488-avr-enamine,CC(C)CNC(=O)Nc1ccc(nc1)N1CCCC1,262.179361324,2,3,4,2.4593000000000007,57.260000000000005
2489-avr-enamine,CC(C)(C)CC(=O)Nc1nc(CC(=O)N)cs1,255.104147784,2,4,4,1.5455999999999999,85.08
2490-avr-enamine,O=C(NCCn1ccnc1)C1CN(C2CC2)C(=O)C1,262.142975816,1,4,5,0.010199999999999543,67.23
2491-avr-enamine,OCC1C(NC(=O)Nc2ccccn2)C2CCC1C2,261.147726848,3,3,3,1.6101,74.25
2492-avr-enamine,NC(=O)Cc1nc2ccccc2n1CC(O)c1ccc(F)cc1,313.12265497199996,2,4,5,1.9367999999999999,81.14
2493-avr-enamine,CC1CCC(CCC(=O)NCCc2nc(C)cs2)O1,282.14019894399996,1,4,6,2.4579200000000005,51.22
2494-avr-enamine,COc1ccccc1OCCn1c(CCO)nc2ccccc12,312.1473925,1,5,7,2.6587000000000005,56.510000000000005
2495-avr-enamine,CC(C)CC1(CCC1)C(=O)NCCc1nncn1C1CC1,290.210661452,1,4,7,2.4881,59.81
2496-avr-enamine,Cc1nn(C)c(C)c1CCNC(=O)CN1CCCCC1=O,292.189926008,1,4,5,0.7081399999999991,67.23
2497-avr-enamine,CCN1CCCC(C1)NC(=O)Nc1ccc(nc1)N(C)C,291.20591042,2,4,4,1.7534,60.50000000000001
2498-avr-enamine,CCC(C)(CNC(=O)Cn1ccc(=O)n(C)c1=O)N1CCOCC1,338.19540531199993,1,7,6,-0.8358999999999965,85.57
2499-avr-enamine,Cc1ccc(s1)c1ccc(=O)n(CC2(O)CCCCC2)n1,304.12454888,1,5,3,2.9754200000000015,55.120000000000005
2500-avr-enamine,CC(Cn1ccnc1)NC(=O)CN1CCCC1=O,250.142975816,1,4,5,0.010199999999999543,67.23
2501-avr-enamine,CC(C)OCCCNC(=O)c1cccnc1N1CCOCC1,307.18959166,1,5,7,1.4630999999999998,63.69
2502-avr-enamine,FC(F)(F)c1cccn(CC(=O)NC2CC2)c1=O,260.077262252,1,3,3,1.1456999999999995,51.1
2503-avr-enamine,Cn1c(=O)ccn(CC(=O)NCCC2=CCCCC2)c1=O,291.158291532,1,5,5,0.5536999999999992,73.1
2504-avr-enamine,CS(=O)(=O)N1CCCC1C(=O)NCCc1ccccn1,297.11471246800005,1,4,5,0.16430000000000078,79.37
2505-avr-enamine,CC1CCCCN1CCNC(=O)Cc1c(C)nn(C)c1C,292.226311516,1,4,5,1.5700399999999994,50.160000000000004
2506-avr-enamine,CC1CCCN(CCNC(=O)Cn2nc(C)cc2C)C1,278.210661452,1,4,5,1.3480399999999995,50.160000000000004
2507-avr-enamine,CC1CCN(CC(O)Cn2c(CO)nc3ccccc23)CC1,303.19467704,2,5,5,1.6214,61.519999999999996
2508-avr-enamine,CC1CN(CC(C)O1)S(=O)(=O)NCCc1cccnc1,299.13036253200005,1,4,5,0.5677000000000003,71.53
2509-avr-enamine,CC(NC(=O)Cn1nc(C)c(C)c(C#N)c1=O)C1CC2CCC1C2,328.189926008,1,5,4,1.6727199999999998,87.78
2510-avr-enamine,CC(Cn1cccn1)NCC(=O)N1CCCC(C)C1,264.195011388,1,4,5,1.1196999999999997,50.160000000000004
2511-avr-enamine,CC(NCCN1CCCC1=O)C(C)n1cccn1,250.17936132399998,1,4,6,1.0445999999999995,50.160000000000004
2512-avr-enamine,CC(NCCC(=O)N1CCCCC1)C(C)n1cc(C)cn1,292.226311516,1,4,6,2.1332199999999997,50.160000000000004
