name1,name2,TanimotoCoefficient
NVIC_0012,CNP0208561.13,0.8421052631578947
NVIC_0012,CNP0292378.4,1.0
NVIC_0012,CNP0213246.1,0.8536585365853658
NVIC_0012,CNP0358957.1,0.9487179487179487
NVIC_0012,CNP0182090.1,0.8444444444444444
NVIC_0012,CNP0165739.0,0.8604651162790697
NVIC_0012,CNP0358957.3,0.9487179487179487
NVIC_0012,CNP0167209.1,1.0
NVIC_0012,CNP0208561.16,0.8421052631578947
NVIC_0012,CNP0246211.11,1.0
NVIC_0012,CNP0246211.21,1.0
NVIC_0012,CNP0207672.1,0.9230769230769231
NVIC_0012,CNP0208561.5,0.8421052631578947
NVIC_0012,CNP0261531.1,0.8536585365853658
NVIC_0012,CNP0137448.1,0.8536585365853658
NVIC_0012,CNP0288787.1,0.8222222222222222
NVIC_0012,CNP0246211.19,1.0
NVIC_0012,CNP0246211.12,1.0
NVIC_0012,CNP0246211.10,1.0
NVIC_0012,CNP0252513.2,1.0
NVIC_0012,CNP0246211.1,1.0
NVIC_0012,CNP0208561.7,0.8421052631578947
NVIC_0012,CNP0246211.17,0.9743589743589743
NVIC_0012,CNP0246211.8,1.0
NVIC_0012,CNP0208561.3,0.8421052631578947
NVIC_0012,CNP0246211.9,1.0
NVIC_0012,CNP0208561.18,0.8421052631578947
NVIC_0014,CNP0341810.0,0.8375
NVIC_0014,CNP0374515.1,1.0
NVIC_0014,CNP0433776.1,0.8375
NVIC_0014,CNP0374515.2,1.0
NVIC_0016,CNP0571165.0,1.0
NVIC_0017,CNP0102858.2,1.0
NVIC_0017,CNP0102858.1,1.0
NVIC_0018,CNP0083994.1,0.9375
NVIC_0018,CNP0002314.1,0.9375
NVIC_0018,CNP0535059.1,1.0
NVIC_0018,CNP0535059.2,1.0
NVIC_0021,CNP0525418.0,1.0
NVIC_0022,CNP0072228.2,1.0
NVIC_0022,CNP0072228.1,1.0
NVIC_0023,CNP0071982.1,1.0
NVIC_0023,CNP0071982.2,1.0
NVIC_0023,CNP0071982.3,1.0
NVIC_0024,CNP0152714.2,1.0
NVIC_0024,CNP0307651.1,1.0
NVIC_0024,CNP0277493.3,0.8571428571428571
NVIC_0024,CNP0277493.1,0.8571428571428571
NVIC_0024,CNP0277493.2,0.8571428571428571
NVIC_0024,CNP0152714.1,1.0
NVIC_0027,CNP0481758.1,1.0
NVIC_0028,CNP0282875.4,1.0
NVIC_0028,CNP0282875.7,1.0
NVIC_0028,CNP0282875.5,1.0
NVIC_0028,CNP0209439.1,0.8333333333333334
NVIC_0028,CNP0282875.6,1.0
NVIC_0028,CNP0114342.1,0.8421052631578947
NVIC_0028,CNP0282875.1,1.0
NVIC_0028,CNP0282875.3,1.0
NVIC_0028,CNP0230081.1,0.8157894736842105
NVIC_0028,CNP0282875.2,1.0
NVIC_0028,CNP0328796.1,0.8108108108108109
NVIC_0029,CNP0490497.0,1.0
NVIC_0030,CNP0182579.0,1.0
NVIC_0031,CNP0561177.0,1.0
NVIC_0035,CNP0354634.0,1.0
NVIC_0037,CNP0349879.0,1.0
NVIC_0038,CNP0564169.1,1.0
NVIC_0039,CNP0128332.0,1.0
NVIC_0047,CNP0423477.2,0.8541666666666666
NVIC_0048,CNP0355625.0,1.0
NVIC_0048,CNP0062165.0,0.8235294117647058
NVIC_0049,CNP0596870.0,1.0
NVIC_0050,CNP0571275.0,1.0
NVIC_0051,CNP0228556.0,1.0
NVIC_0052,CNP0140121.0,0.8181818181818182
NVIC_0052,CNP0474708.0,0.8653846153846154
NVIC_0052,CNP0117929.1,1.0
NVIC_0052,CNP0580098.0,0.8867924528301887
NVIC_0052,CNP0117929.2,1.0
NVIC_0054,CNP0341125.1,0.86
NVIC_0054,CNP0153668.1,1.0
NVIC_0054,CNP0153668.2,1.0
NVIC_0054,CNP0341125.2,0.86
NVIC_0055,CNP0205414.1,0.9629629629629629
NVIC_0055,CNP0205414.2,0.9629629629629629
NVIC_0055,CNP0574589.0,0.8135593220338984
NVIC_0056,CNP0542002.1,1.0
NVIC_0056,CNP0085219.1,1.0
NVIC_0056,CNP0249252.1,0.8611111111111112
NVIC_0056,CNP0249252.2,0.8611111111111112
NVIC_0056,CNP0312395.1,0.8133333333333334
NVIC_0056,CNP0108995.2,0.8493150684931506
NVIC_0056,CNP0242931.1,1.0
NVIC_0056,CNP0242931.2,1.0
NVIC_0056,CNP0108995.1,0.8493150684931506
NVIC_0056,CNP0293318.1,1.0
NVIC_0056,CNP0392058.1,1.0
NVIC_0056,CNP0307450.2,1.0
NVIC_0056,CNP0307450.3,1.0
NVIC_0056,CNP0307450.1,1.0
NVIC_0056,CNP0143970.1,0.8857142857142857
NVIC_0056,CNP0048366.1,0.9117647058823529
NVIC_0056,CNP0479866.1,0.8243243243243243
NVIC_0056,CNP0085219.2,1.0
NVIC_0056,CNP0249252.3,0.8611111111111112
NVIC_0056,CNP0048366.2,0.9117647058823529
NVIC_0056,CNP0202745.3,0.8133333333333334
NVIC_0056,CNP0290943.1,0.8513513513513513
NVIC_0056,CNP0212811.2,0.8857142857142857
NVIC_0056,CNP0202745.2,0.8133333333333334
NVIC_0056,CNP0212811.1,0.8857142857142857
