name,smiles
154-avr-enamine,COCC(=O)Nc1cccnc1N1CCCCC1
155-avr-enamine,O=C(Cn1ccccc1=O)NC1=NCCS1
156-avr-enamine,CC(C(=O)NCC1CCOC1)n1cccn1
157-avr-enamine,CC1CC(C)CN(CCNC(=O)Cn2cnnn2)C1
158-avr-enamine,OC1(Cn2c(=O)c(C#N)cn(C3CC3)c2=O)CCCCC1
159-avr-enamine,COCCn1c(N)c(Sc2ccccc2)c(=O)[nH]c1=O
160-avr-enamine,CC(C)c1nc(CC(=O)NCC2CCOC2)cs1
161-avr-enamine,CCC(C)NC(=O)c1cccnc1N1CCOCC1
162-avr-enamine,CC(C)Cn1nc(C)c(CC(=O)NC2CC2)c1C
163-avr-enamine,CC(C(=O)NCCCN1CCCCCC1=O)n1cncn1
164-avr-enamine,CCCC(C)NC(=O)Cn1[nH]c(=O)ccc1=O
165-avr-enamine,CCCNC(=O)Cc1csc(n1)N1CCNC1=O
166-avr-enamine,CCS(=O)(=O)N1CCC(CC1)C(=O)NCCc1ccccn1
167-avr-enamine,CCNC(=O)CNC(=O)Cc1csc(n1)C(C)C
168-avr-enamine,Cn1ccnc1CCNC(=O)C1CCC=CC1
169-avr-enamine,O=C(NCCc1cccnc1)c1cn2CCS(=O)(=O)N=c2cc1
170-avr-enamine,OCCCc1nc2ccccc2n1CC(O)c1ccccc1F
171-avr-enamine,CCNC(=O)CCNC(C)C(C)n1cccn1
172-avr-enamine,CC(NCCCS(=O)(=O)N)C(C)n1cccn1
173-avr-enamine,COC1(C)CC(NC(=O)Nc2cnn(C)c2)C1(C)C
174-avr-enamine,NC(=O)C1CN(CCO1)c1ccc(Cl)c(C#N)n1
175-avr-enamine,CCn1ccc(=O)c(NC(=O)NCC2CC2)c1
176-avr-enamine,O=C(CNCCn1cccn1)NC1CCCCNC1=O
177-avr-enamine,Cc1cnccc1NC(=O)NC1(CCCC1)C(=O)NCC1CC1
178-avr-enamine,Cc1nnccc1NC(=O)NCC1(C)CCCC1
179-avr-enamine,CC1CC1NC(=O)Nc1ccnc(C)c1Cl
180-avr-enamine,N#CCCCNC1CCCCC1n1cccn1
181-avr-enamine,Cc1noc(C)c1CC(=O)NC(C)(CO)C1CCCCC1
182-avr-enamine,Cn1cc(cn1)C1NC(=O)CC[C@@H]1N
183-avr-enamine,O=C(CNCCn1cccn1)NCC1CC1
184-avr-enamine,CC(C(=O)NCC(C)(C)C(=O)O)n1cccn1
185-avr-enamine,CC1CN(CC(O)Cn2cnc3cc(C)c(C)cc23)CCO1
186-avr-enamine,CNC(=O)CNC(=O)C(C)n1ccnc1
187-avr-enamine,CCn1cc(NC(=O)NCC2CCS(=O)(=O)C2)cn1
188-avr-enamine,O=C(NC1CCCCNC1=O)Nc1nccs1
189-avr-enamine,FC(F)(F)c1ccc(=O)n(CC(=O)NC2CCCC2)c1
190-avr-enamine,Cc1cc(NC(=O)NCC(O)CN2CCCCC2)n(C)n1
191-avr-enamine,CNC(=O)CN1CCC(CC1)NC(=O)Nc1cccnc1
192-avr-enamine,CCn1cc(NC(=O)NC2CCC(O)CC2)cn1
193-avr-enamine,Cc1csc(=O)n1CC(=O)NCCC(=O)N1CCCC1
194-avr-enamine,CC(OCC1CCCCO1)C(=O)Nc1cccc(n1)C(F)(F)F
195-avr-enamine,Cc1cc(NC(=O)NCCN2CCCCC2)no1
196-avr-enamine,CC1CCCCN1CCCNC(=O)Nc1cc(C)nn1C
197-avr-enamine,COC1CCCCC1NC(=O)NCCc1ccncc1C
198-avr-enamine,Cc1nn(C)c(C)c1CC(=O)NCCSC1CCCC1
199-avr-enamine,CCc1csc(NC(=O)NC2CCC(=O)N(C)C2)n1
200-avr-enamine,CN(C)c1ncccc1NC(=O)COC1CCCC1
201-avr-enamine,CS(=O)(=O)N1CCCC1C(=O)NCCn1ccnc1
202-avr-enamine,Cc1ccncc1NC(=O)NCCCN1CCCC1=O
203-avr-enamine,CS(=O)(=O)N1CCC(CC1)NC(=O)Cn1cccn1
204-avr-enamine,CC(C(=O)NCc1ccc(nc1)N1CCOCC1)S(=O)(=O)C
205-avr-enamine,Cc1cc(CC(=O)NC2C(CO)C3CCC2C3)n[nH]1
206-avr-enamine,Cc1cnn(CCNCCCN2CCCC2=O)c1
207-avr-enamine,O=C(NCCn1ccnc1)N1CCCC1C1CCC1
208-avr-enamine,CC(=O)NCCc1nc2ccccc2n1CCOc1ccccc1C
209-avr-enamine,COCCCNC(=O)c1cccnc1N1CCOCC1
210-avr-enamine,O=C(Cn1cccnc1=O)NCC1(CCCCC1)N1CCOCC1
211-avr-enamine,CC(CN1CCOCC1)NC(=O)Cn1cccc(c1=O)C(F)(F)F
212-avr-enamine,Cc1cnccc1NC(=O)NC1CCCC(C1)C(F)(F)F
213-avr-enamine,Cn1c(=O)n(C)c2nc(Cl)n(CCO)c2c1=O
214-avr-enamine,Cc1cnn(CCNCCN2CCCC2=O)c1
215-avr-enamine,CC(Cn1cc(C)cn1)NCCN1CCCC1=O
216-avr-enamine,CC(C)(C)C(=O)NCCc1nc(no1)C1CC1
217-avr-enamine,CC(C)C(C)NC(=O)C(C)c1c(C)n[nH]c1C
218-avr-enamine,CSC1CCCCC1NC(=O)NCCc1nc(C)no1
219-avr-enamine,FC(F)(F)C1(CCCCC1)NC(=O)Nc1nncs1
220-avr-enamine,Cc1ccc(C)c(OCC(O)Cn2cnc(C)c(C)c2=O)c1
221-avr-enamine,OCCC(NC(=O)Nc1cccnc1)C1CCCCC1
222-avr-enamine,FC(F)(F)c1ccnc(NC(=O)NCCN2CCOCC2)c1
223-avr-enamine,Cc1nc(CCNC(=O)NCC2CCCO2)sc1C
224-avr-enamine,CCOC1CC(NC(=O)Nc2cccnc2)C1(C)C
225-avr-enamine,Cc1cc(C)nc(NC(=O)NC2CN(C(=O)C2)C(C)(C)C)c1
226-avr-enamine,CC(C)C1OCCC1CNC(=O)Cc1c(C)nn(C)c1C
227-avr-enamine,Cn1c(=O)ccn(CC(=O)NC(CC(=O)N)C2CCCCC2)c1=O
228-avr-enamine,C[C@H](NC(=O)Cc1csc(n1)C(C)(C)C)C(=O)O
229-avr-enamine,CC(C)N1CCC(NC(=O)Nc2ccc(F)cn2)C1=O
230-avr-enamine,CCCc1nc(n[nH]1)C1CNCCO1
