NVIC_id,SMILES,BBB,OATP1B1_inhibitor,OATP1B3_inhibitor,OATP2B1_inhibitor,OCT1_inhibitor,OCT2_inhibitor,BCRP_inhibitor,BSEP_inhibitor,MATE1_inhibitor,Pgp_inhibitor,Pgp_substrate,PPB,VDss
NVIC0060,Cc1cc(-c2ccc(N3C(=O)CC4(CCCC4)C3=O)c(C)c2)ccc1N1C(=O)CC2(CCCC2)C1=O,0.6317406296730042,0.4981335699558258,0.6149009466171265,0.38316890597343445,0.41386932134628296,0.1670805811882019,0.5486538410186768,0.9577831029891968,0.14327648282051086,0.9598298072814941,0.19022023677825928,0.9692999124526978,-0.05211311951
NVIC0061,NCC1(CC(=O)O)CCCCC1,0.7358394265174866,0.9883429408073425,0.9951766729354858,0.06343559175729752,0.04788576811552048,0.07198570668697357,0.010249800980091095,0.016774531453847885,0.02383311092853546,0.00668187253177166,0.14925748109817505,-0.01587986946,-0.1320757419
NVIC0062,CN(C)c1ccc(C(=C2C=CC(=[N+](C)C)C=C2)c2ccc(N(C)C)cc2)cc1,0.14963577687740326,0.80287766456604,0.7871432900428772,0.35505130887031555,0.48098284006118774,0.27446630597114563,0.674930989742279,0.799142599105835,0.4039042294025421,0.7427686452865601,0.8604034781455994,0.7607687711715698,-0.4171334207
NVIC0063,Cc1cc(=O)c2c(O)c3c(O)cc(O)c4c5c(O)cc(O)c6c(O)c7c(=O)cc(C)c8c1c2c(c34)c(c65)c78,0.035167861729860306,0.6466249823570251,0.6917905211448669,0.5908939242362976,0.22692108154296875,0.20805612206459045,0.7022441029548645,0.42252838611602783,0.282126784324646,0.47011232376098633,0.2816717028617859,0.9822567701339722,-0.5041206479
NVIC0064,CC(=O)N(CC(O)CN(C(C)=O)c1c(I)c(C(=O)NCC(O)CO)c(I)c(C(=O)NCC(O)CO)c1I)c1c(I)c(C(=O)NCC(O)CO)c(I)c(C(=O)NCC(O)CO)c1I,0.08440755307674408,0.7569716572761536,0.831807553768158,0.2520563304424286,0.07345394790172577,0.13441792130470276,0.06374304741621017,0.14251558482646942,0.07501180469989777,0.13273854553699493,0.4427504539489746,0.2273014783859253,-0.6438007951
NVIC0065,NC(=O)c1ncn([C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)n1,0.5644127130508423,0.9391374588012695,0.9775314331054688,0.1194017082452774,0.06561906635761261,0.028958437964320183,0.04548441618680954,0.04357316717505455,0.05616955831646919,0.03628760576248169,0.14698192477226257,0.14119522273540497,-0.2584013343
NVIC0066,CC(C)C[C@H](NC(=O)[C@H](Cc1ccccc1)NC(=O)c1cnccn1)B(O)O,0.39566582441329956,0.8595231175422668,0.9230221509933472,0.18078812956809998,0.08748156577348709,0.07299793511629105,0.16203179955482483,0.34215548634529114,0.08531833440065384,0.20316503942012787,0.481402724981308,0.6496232748031616,-0.282251507
NVIC0067,O=C(Nc1cccc2ccccc12)c1c(NC(=O)C(F)(F)F)sc2c1CCCC2,0.763434112071991,0.8557435870170593,0.8296568989753723,0.42147964239120483,0.47108930349349976,0.1465664952993393,0.456704318523407,0.9440714120864868,0.2820969521999359,0.8168815970420837,0.09423670172691345,0.9712792634963989,0.08052074909
NVIC0068,NC(=O)C1=CN([C@@H]2O[C@H](COP(=O)(O)OP(=O)(O)OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](O)[C@@H]3O)[C@@H](O)[C@H]2O)C=CC1,0.11669515818357468,0.852627694606781,0.9099985957145691,0.21423591673374176,0.06864408403635025,0.0711178183555603,0.0792769342660904,0.12806212902069092,0.09780745953321457,0.05046803504228592,0.8102745413780212,0.29485800862312317,-0.4069381058
NVIC0069,CSC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1O,0.863741934299469,0.9782226085662842,0.9926931858062744,0.05743194371461868,0.09811967611312866,0.050111547112464905,0.10735021531581879,0.04615551605820656,0.04522879794239998,0.009493126533925533,0.28698301315307617,0.2446112483739853,0.09592542052
NVIC0070,NC(N)=NCCC[C@H](N)C(=O)N1CCC[C@H]1C(=O)N1CCC[C@H]1C(=O)NCC(=O)N[C@@H](Cc1ccccc1)C(=O)N[C@@H](CO)C(=O)N1CCC[C@H]1C(=O)N[C@@H](Cc1ccccc1)C(=O)N[C@@H](CCCN=C(N)N)C(=O)O,0.09131691604852676,0.8266069293022156,0.9003096222877502,0.28104275465011597,0.03915223851799965,0.07236289232969284,0.03426805138587952,0.10901626199483871,0.05706825479865074,0.056713517755270004,0.44400012493133545,0.2947264611721039,-0.9047561288
NVIC0071,O=C1C[C@@H](c2ccc(O)cc2)Oc2cc(O)cc(O)c21,0.5069932341575623,0.8346685767173767,0.8751395344734192,0.31005099415779114,0.41130492091178894,0.2884955108165741,0.6510566473007202,0.47274911403656006,0.3021049201488495,0.2898155450820923,0.08415699005126953,0.9579522609710693,-0.3813786805
