NVIC_id,SMILES,CYP1A2_inhibitor,CYP3A4_inhibitor,CYP2B6_inhibitor,CYP2C9_inhibitor,CYP2C19_inhibitor,CYP2D6_inhibitor,CYP1A2_substrate,CYP3A4_substrate,CYP2B6_substrate,CYP2C9_substrate,CYP2C19_substrate,CYP2D6_substrate,HLM,RLM,UGT_substrate
NVIC0030,CC(C)C1=Cc2ccc3c(c2C(=O)C1=O)CCCC3(C)C,0.8951495885848999,0.28664976358413696,0.5800854563713074,0.7710244059562683,0.9100893139839172,0.1314067841,0.4194565713405609,0.3391820192337036,0.6612134575843811,0.2864549160003662,0.32535648345947266,0.15753920376300812,0.653667688369751,0.9019347429275513,0.3846873641014099
NVIC0031,NC(N)=NC(=O)c1nc(Cl)c(N)nc1N,0.07228688150644302,0.004133265465497971,0.03489026054739952,0.014259248971939087,0.017303727567195892,0.004106255714,0.04868391156196594,0.03869646415114403,0.0744517594575882,0.025998307392001152,0.041148170828819275,0.013886123895645142,0.019305342808365822,0.04120681807398796,0.8893234133720398
NVIC0032,CCCCN(CCCNC(=O)OC(C)(C)C)C(=O)c1ccc(OC)c(OC)c1,0.12878836691379547,0.7821213603019714,0.3943234980106354,0.5189646482467651,0.7745358347892761,0.492560178,0.3543279469013214,0.7096506953239441,0.8156777024269104,0.24165119230747223,0.5628468990325928,0.35015425086021423,0.9223002195358276,0.9667874574661255,0.09135742485523224
NVIC0033,CCOC(=O)C1=C(C)N=c2s/c(=C/c3cc(Br)ccc3OC(C)=O)c(=O)n2C1c1ccccc1,0.12548361718654633,0.5144458413124084,0.6003682613372803,0.9165297150611877,0.7683568596839905,0.03657222912,0.40177616477012634,0.8339787721633911,0.6434096693992615,0.4129815399646759,0.6764711737632751,0.20838387310504913,0.7609125375747681,0.7878425121307373,0.1492440551519394
NVIC0034,O=S(=O)(Nc1ccc(-n2cnnn2)cc1)C1=Cc2ccccc2CC1,0.8156765699386597,0.9227243661880493,0.4110325574874878,0.8701505661010742,0.8918479084968567,0.3880499601,0.38734862208366394,0.3205958902835846,0.12461502850055695,0.33967867493629456,0.344093918800354,0.09828756004571915,0.4349677860736847,0.7221212983131409,0.7458969354629517
NVIC0035,O=C1NC(=O)C(c2ccccc2)(c2ccccc2)N1,0.1289718598127365,0.10245455056428909,0.1253378540277481,0.15900658071041107,0.30897146463394165,0.02534764819,0.7781986594200134,0.7953017950057983,0.4520829916000366,0.8001166582107544,0.9202125668525696,0.23871980607509613,0.0988147035241127,0.28449347615242004,0.5262773036956787
NVIC0036,C[C@@H]1CN(C2=NC(=O)/C(=C/c3cn(-c4ccccc4)nc3-c3cc4ccccc4o3)S2)C[C@@H](C)O1,0.7789724469184875,0.40945300459861755,0.7253544330596924,0.8616726994514465,0.6729080677032471,0.02268539928,0.6903936862945557,0.7646679282188416,0.6116542220115662,0.4529677629470825,0.6563554406166077,0.2943105697631836,0.3304736018180847,0.5439167022705078,0.19028514623641968
NVIC0037,CCN(c1nc(N)c(C(=O)N=C(N)N)nc1Cl)C(C)C,0.5792560577392578,0.048249077051877975,0.10074326395988464,0.1058901846408844,0.12368853390216827,0.08047812432,0.33980971574783325,0.17147715389728546,0.22633038461208344,0.09515927731990814,0.3043704330921173,0.08366724103689194,0.10324101150035858,0.2694804072380066,0.7453135251998901
NVIC0038,CSC[C@H]1O[C@@H](n2ccc3c(N)ncnc32)[C@H](O)[C@@H]1O,0.051075708121061325,0.013676876202225685,0.06657234579324722,0.003128436394035816,0.0037300558760762215,0.004218778107,0.18768639862537384,0.15503141283988953,0.22777307033538818,0.06655567139387131,0.16718116402626038,0.04499465599656105,0.04930134862661362,0.05086073651909828,0.5978063941001892
NVIC0039,Nc1ncnc2nc[nH]c12,0.4730682075023651,0.04603426903486252,0.10999482125043869,0.010513657703995705,0.01634790189564228,0.008412881754,0.0981111079454422,0.02629840560257435,0.0969618484377861,0.02771134115755558,0.0435243658721447,0.024920299649238586,0.03582504764199257,0.05901795253157616,0.8223586082458496
NVIC0040,NC(=O)c1c(/N=c2\oc3cc(O)ccc3cc2C(N)=O)sc2c1CCCC2,0.9124715328216553,0.9050576090812683,0.4255828857421875,0.8284766674041748,0.8421583771705627,0.3371846676,0.27702218294143677,0.16302786767482758,0.10579309612512589,0.14812619984149933,0.13731162250041962,0.09278257936239243,0.4936436414718628,0.7814112901687622,0.8709391355514526
NVIC0041,Cc1ccc(Cn2c(CO)cnc2SCC(=O)N2CCCc3ccccc32)cc1,0.7530564069747925,0.9789925217628479,0.4756290018558502,0.9611908793449402,0.9833901524543762,0.4372198284,0.41509324312210083,0.6591174602508545,0.3736940622329712,0.4610755741596222,0.4630918502807617,0.1695958524942398,0.8661000728607178,0.945033073425293,0.31833621859550476
NVIC0042,Cn1c(=O)c2c(SCC(=O)NCCc3ccccc3)nc(-c3ccco3)nc2n(C)c1=O,0.5089669227600098,0.8265517354011536,0.19641780853271484,0.772415816783905,0.8534144759178162,0.1018037722,0.5413711071014404,0.622969925403595,0.36465391516685486,0.5177545547485352,0.6903616786003113,0.15554708242416382,0.75657057762146,0.89827561378479,0.36365389823913574
NVIC0043,O=C(NCC1CCCO1)C(=O)Nc1c2c(nn1-c1ccc(F)cc1)CSC2,0.37988173961639404,0.17834527790546417,0.11871634423732758,0.18049408495426178,0.27548888325691223,0.0411532186,0.5147709250450134,0.39701175689697266,0.3218020498752594,0.3034827411174774,0.5275649428367615,0.1242208182811737,0.057268328964710236,0.2571471631526947,0.5246020555496216
NVIC0044,O=C(O)c1cc(-c2ccc(/C=C3\SC(=S)N(CCc4ccccc4)C3=O)o2)ccc1Cl,0.7336376309394836,0.18839579820632935,0.6296970844268799,0.85336834192276,0.5726757645606995,0.09143334627,0.5998562574386597,0.6758923530578613,0.44928407669067383,0.8140883445739746,0.6360920667648315,0.2321564108133316,0.16192983090877533,0.24214886128902435,0.5599769353866577
NVIC0045,O=C(Nc1cccc(-c2ccccc2)c1)N1CCN(C(=O)Nc2cccc(-c3ccccc3)c2)CC1,0.5600998997688293,0.4605270028114319,0.559619665145874,0.6550474762916565,0.7149877548217773,0.2445170432,0.397729754447937,0.5446968078613281,0.16966968774795532,0.2927909791469574,0.20229166746139526,0.289470911026001,0.6555987596511841,0.7159414291381836,0.5807938575744629
