NVIC_id,SMILES,logS,logP,pKa,Acidic_pKa,Basic_pKa,Caco_2_c,Caco_2,HIA,MDCK,F50,F30,F20
NVIC0011,Cc1coc2c1C(=O)C(=O)c1c-2ccc2c(C)cccc12,-5.157738686,3.972355842590332,7.605029106140137,7.813548564910889,6.922125816345215,0.8355785012245178,-4.794178963,0.9858960509300232,0.5510603189468384,0.4115447104,0.6533509492874146,0.7881061434745789
NVIC0012,OC[C@H]1O[C@@H](OC[C@H]2O[C@H](O[C@]3(CO)O[C@H](CO)[C@@H](O)[C@@H]3O)[C@H](O)[C@@H](O)[C@@H]2O)[C@H](O)[C@@H](O)[C@@H]1O,0.1712915301322937,-3.462794304,4.248223781585693,4.038493633270264,5.744201183319092,0.004010896664112806,-6.61565733,0.06100494787096977,0.3636946380138397,0.2131043971,0.21729083359241486,0.2579761743545532
NVIC0013,COc1ccc2sc(NC(c3ccc(OC(F)F)cc3)c3ccc4cccnc4c3O)nc2c1,-6.076976299,5.284762382507324,9.256377220153809,9.480138778686523,5.444153308868408,0.7355343103408813,-4.792294025,0.9809417724609375,0.5032153129577637,0.5437383652,0.734464704990387,0.8263965249061584
NVIC0014,CNc1ccc2oc(C[C@H]3O[C@@]4(CC[C@H]3C)O[C@H]([C@H](C)C(=O)c3ccc[nH]3)[C@H](C)C[C@H]4C)nc2c1C(=O)O,-5.643339634,3.18155574798584,6.815676212310791,6.516706466674805,5.982494831085205,0.01578965038061142,-6.308935165,0.7439209818840027,0.2437063306570053,0.5636947751,0.7326413989067078,0.7926186323165894
NVIC0015,CCC(CC)COC(=O)[C@H](C)N[P@](=O)(OC[C@H]1O[C@@](C#N)(c2ccc3c(N)ncnn23)[C@H](O)[C@@H]1O)Oc1ccccc1,-4.076957703,2.2081358432769775,5.908045768737793,5.886275768280029,5.323638916015625,0.07334902137517929,-5.874476433,0.6914321780204773,0.5030631422996521,0.08149943501,0.11252471804618835,0.17420805990695953
NVIC0016,CCN(CC)c1ccc(C(=C2C=CC(=[N+](CC)CC)C=C2)c2ccccc2)cc1,-3.394361019,1.8312480449676514,10.952550888061523,10.40937328338623,12.84739875793457,0.27582699060440063,-5.314259529,0.7412618398666382,0.19873280823230743,0.169565931,0.25849372148513794,0.33266472816467285
NVIC0017,NC(=O)c1[nH]nc([C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)c1O,-0.3537923098,-2.191195488,5.748012065887451,5.5421247482299805,4.161565780639648,0.02169216424226761,-6.217231274,0.31687963008880615,0.45804256200790405,0.7092975378,0.7335982918739319,0.794704020023346
NVIC0018,Nc1nc2c(c(=O)[nH]1)NC(CNc1ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc1)CN2,-1.94733572,-1.999002099,5.292579650878906,4.970813274383545,7.783306121826172,0.002030335832387209,-7.186588764,0.16608871519565582,0.28041213750839233,0.2766515017,0.28598231077194214,0.33816763758659363
NVIC0019,Oc1ccc(/C=N\Nc2nc(Nc3ccccc3)nc(N3CCOCC3)n2)cc1,-5.231200695,4.058772087097168,6.200957775115967,6.69594144821167,2.829200029373169,0.3908700942993164,-5.18205452,0.9540323615074158,0.5445042252540588,0.3024140894,0.46064311265945435,0.6045386791229248
NVIC0020,COc1cc(/C=N\Nc2cc(N3CCOCC3)nc(N3CCOCC3)n2)ccc1O,-4.512696266,2.968993663787842,4.498645782470703,4.009519100189209,5.034906387329102,0.1053486317396164,-5.834684849,0.8267351388931274,0.27938321232795715,0.1187862903,0.21395675837993622,0.27826371788978577
